MatchId;Journee;Stade;Spectateurs;Date;home_team;away_team;home_goal;away_goal;home_possession;away_possession;home_duels_gagnes;away_duel_gagnes;home_duel_aeriens_gagnes;away_duel_aeriens_gagnes;home_interceptions;away_interceptions;home_hors_jeux;away_hors_eux;home_corners_won;away_corners_won;home_passes;away_passes;home_centres;away_centres;home_tirs;away_tirs;home_tirs_cadres;away_tirs_cadres;home_carton_jaune;away_carton_jaune;home_carton_rouge;away_carton_rouge;home_formation;away_formation 
71085;Journée 33;PARC DES PRINCES;41454;DIM. 30 AVRIL 2023- 17:05;PARIS SAINT-GERMAIN;FC LORIENT;1;3;53,9;46,1;52,6;47,4;85,7;14,3;10;15;0;3;2;3;606;523;9;6;13;14;4;7;2;3;1;0;2-2-2-2-2;2-2-2-3-1
71086;Journée 33;ROAZHON PARK;28028;DIM. 30 AVRIL 2023- 15:00;STADE RENNAIS FC;ANGERS SCO;4;2;63,9;36,1;45,6;54,4;52,9;47,1;5;10;1;0;7;5;544;301;17;15;13;4;4;2;1;2;0;0;2-2-1-4-1;3-2-3-2
71087;Journée 33;STADE DE LA MEINAU;25360;VEN. 28 AVRIL 2023- 21:00;RC STRASBOURG ALSACE;OLYMPIQUE LYONNAIS;1;2;53,1;46,9;60,3;39,7;54,2;45,8;12;12;1;1;5;4;439;396;26;10;11;7;3;4;2;2;0;1;3-2-2-2-1;4-1-3-2
71088;Journée 33;STADIUM;30866;MAR. 2 MAI 2023- 21:00;TOULOUSE FC;RC LENS;0;1;46,2;53,8;50;50;50;50;6;14;2;2;5;0;470;558;18;8;9;11;2;3;1;2;0;0;3-2-2-2-1;2-2-2-3-1
71089;Journée 33;STADE DE L'AUBE;8399;DIM. 30 AVRIL 2023- 15:00;ESTAC TROYES;OGC NICE;0;1;35,6;64,4;47,4;52,6;46,7;53,3;5;10;1;0;3;14;364;658;7;35;9;30;6;13;0;2;0;0;3-2-2-2-1;2-2-1-2-2-1
71090;Journée 34;STADE FRANÇOIS-COTY;6735;DIM. 7 MAI 2023- 15:00;AC AJACCIO;TOULOUSE FC;0;0;38,7;61,3;54,2;45,8;37;63;7;7;1;1;4;7;342;542;18;27;4;15;2;5;3;0;0;0;2-2-3-2-1;3-2-2-2-1
71091;Journée 34;STADE RAYMOND-KOPA;9223;DIM. 7 MAI 2023- 13:00;ANGERS SCO;AS MONACO;1;2;61;39;53,7;46,3;42,3;57,7;5;13;0;1;4;3;560;357;20;11;10;14;3;6;3;2;0;0;3-2-3-2;2-2-2-3-1
71092;Journée 34;STADE DE L'ABBÉ-DESCHAMPS;16330;DIM. 7 MAI 2023- 15:00;AJ AUXERRE;CLERMONT FOOT 63;1;1;46,3;53,7;45,8;54,2;54,5;45,5;14;11;2;2;2;2;407;473;14;12;12;9;4;4;1;0;0;0;3-2-2-2-1;2-2-2-3-1
71093;Journée 34;STADE BOLLAERT-DELELIS;38220;SAM. 6 MAI 2023- 21:00;RC LENS;OLYMPIQUE DE MARSEILLE;2;1;42,5;57,5;46,4;53,6;53,8;46,2;13;11;1;2;7;7;299;401;15;28;9;14;3;3;5;2;0;0;3-2-2-2-1;2-2-2-3-1
71094;Journée 34;STADE YVES-ALLAINMAT;16338;DIM. 7 MAI 2023- 15:00;FC LORIENT;STADE BRESTOIS 29;2;1;46,2;53,8;51;49;50;50;5;8;2;0;4;6;378;426;7;27;6;15;3;2;1;2;1;0;3-2-2-2-1;4-1-2-2-1
